# SIPES, Base de Titulos Universitarios (DNGU), https://sipes.siu.edu.ar/buscar_titulos_form.php . Todas las paginas del buscador para las cinco instituciones, consultado el 2026-09-08 (hora de Argentina, noche del 7) con el formulario y su paginado. UTN es la universidad entera (no se puede filtrar por Facultad Regional); Siglo 21 dicta a distancia.
cod_institucion,institucion,titulo,carrera,resolucion_reconocimiento_oficial,modalidad,nivel
36,Universidad Nacional de Tucumán,DOCTOR/A EN PSICOLOGÍA,DOCTORADO EN PSICOLOGÍA,R.M./949/2024,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN ALIMENTOS CON ORIENTACION EN CIENCIA, ,R.M.1593/08,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN ALIMENTOS CON ORIENTACION EN INGENIERIA, ,R.M.1593/08,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN BIOQUÍMICA,DOCTORADO EN BIOQUÍMICA,R.M./1394/2015,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN CIENCIA DE LA EDUCACIÓN, ,R.M.1335/10,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN CIENCIAS ECONÓMICAS CON ORIENTACIÓN EN CONTABILIDAD,DOCTORADO EN CIENCIAS ECONÓMICAS CON ORIENTACIÓN EN CONTABILIDAD Y CON ORIENTACIÓN EN GESTIÓN PÚBLICA, ,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN CIENCIAS ECONÓMICAS CON ORIENTACIÓN EN GESTIÓN PÚBLICA,DOCTORADO EN CIENCIAS ECONÓMICAS CON ORIENTACIÓN EN CONTABILIDAD Y CON ORIENTACIÓN EN GESTIÓN PÚBLICA, ,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN CIENCIAS EXACTAS E INGENIERIA, ,R.M.1810/06,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN CIENCIAS QUÍMICAS,DOCTORADO EN CIENCIAS QUÍMICAS,R.M./1528/2015 - R.M./1903/2015,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN CIENCIAS SOCIALES CON ORIENTACIÓN EN HISTORIA O DOCTOR EN CIENCIAS SOCIALES CON ORIENTACIÓN EN GEOGRAFÍA,DOCTORADO EN CIENCIAS SOCIALES CON ORIENTACIÓN EN HISTORIA O GEOGRAFÍA,R.M./447/2021,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN CIENCIAS SOCIALES CON ORIENTACIÓN EN HISTORIA O EN GEOGRAFÍA,DOCTORADO EN CIENCIAS SOCIALES,R.M./1659/2016,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN CIENCIAS SOCIALES CON ORIENTACION EN HISTORIA O GEOGRAFIA, ,R.M.2074/10,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN DERECHO PÚBLICO Y ECONOMÍA DE GOBIERNO, ,R.M.1522/10,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN EDUCACIÓN,DOCTORADO EN EDUCACIÓN,R.M./145/2017,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN GEOLOGÍA,DOCTORADO EN GEOLOGÍA,R.M./645/2017,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN HUMANIDADES (PUDIENDO LA UNIVERSIDAD INCORPORAR EL ÁREA DE CONOCIMIENTO INVOLUCRADA EN SU TESIS DOCTORAL), ,R.M.0171/10,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN HUMANIDADES (PUDIENDO LA UNIVERSIDAD INCORPORAR EL ÁREA DE CONOCIMIENTO INVOLUCRADA EN SU TESIS DOCTORAL),DOCTORADO EN HUMANIDADES,R.M./1395/2016 - R.M./687/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN LETRAS,DOCTORADO EN LETRAS,R.M./607/2017,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN LETRAS CON ORIENTACION EN LINGÜÍSTICA, ,R.M.0057/11,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN LETRAS CON ORIENTACION EN LITERATURA, ,R.M.0057/11,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN ODONTOLOGÍA, ,R.M.0044/08,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR EN RIESGOS NATURALES Y ESTUDIOS GEOLOGICOS DE CAMPO,DOCTORADO EN RIESGOS NATURALES Y ESTUDIOS GEOLÓGICOS DE CAMPO,R.M./0900/2014 - R.M./900/2014,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,ENFERMERO, ,R.M.2405/94 - R.M.0538/11,PRESENCIAL,Pregrado
36,Universidad Nacional de Tucumán,ENFERMERO/A UNIVERSITARIO/A,LICENCIATURA EN ENFERMERÍA,R.M./176/2021,PRESENCIAL,Pregrado
36,Universidad Nacional de Tucumán,ENFERMERO/A UNIVERSITARIO/A,LICENCIATURA EN ENFERMERÍA,R.M./81/2021,PRESENCIAL,Pregrado
36,Universidad Nacional de Tucumán,ESCRIBANO, ,R.M.1153/01,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ESCRIBANO/A,ESCRIBANÍA,R.M./270/2025,PRESENCIAL,Grado
36,Universidad Nacional de Tucumán,ESPECIALISTA EN ADMINISTRACION PUBLICA,ESPECIALIZACIÓN EN ADMINISTRACIÓN PÚBLICA,R.M./0828/2013 - R.M./828/2013,PRESENCIAL,Posgrado
